short_description,description,combined_desc,caller,assignment_group
eu tool not able remove scrap rectified,eu tool not able remove scrap rectified,eu tool not able remove scrap rectified eu tool not able remove scrap rectified,mlckvyfq aonlxvwb,GRP_25
enable active directory account,enable active directory account summary need active directory account,enable active directory account enable active directory account summary need active directory account,kcwqdeob jwtpkzub,GRP_2
sync issue,sync issue,sync issue sync issue,wjkzgyxh pktcqbxu,GRP_0
explorer,user explorer page refreshing error,explorer user explorer page refreshing error,pbrmgyzo hzoxdijn,GRP_3
unable view,unable view,unable view unable view,aqdjcuhn lagfitkz,GRP_0
customer not getting order automatically,received two customer not getting order automatically like past top parent automatically sending since not getting someone look affecting customer paying use receiver pay bill senior engineer company,customer not getting order automatically received two customer not getting order automatically like past top parent automatically sending since not getting someone look affecting customer paying use receiver pay bill senior engineer company,kgqpwvzu rkexzwlh,GRP_13
production order locked,production order locked user no one able unlock order unlocked inspection lot,production order locked production order locked user no one able unlock order unlocked inspection lot,aqgphjbc utjrsedy,GRP_14
need access finance section hub,received could always get finance section cant need access regional controller,need access finance section hub received could always get finance section cant need access regional controller,bwfhtumx japznrvb,GRP_16
received message tell sent,received message tell sent,received message tell sent received message tell sent,xawlkiey demjqrfl,GRP_26
address confirmation,address confirmation,address confirmation address confirmation,fyokahtw sidurjge,GRP_0
pi connectivity issue certificate renewal,connectivity issue pi due certificate renewal azure certificate not yet pi side issue data area data partner not pi worked vice prod dev issue start time customer master team issue prospect account didnt come yet â€“ pi team still status â€“ basically not yet received target system upon log analysis trying identify root cause pi basis â€“ issue production environment since around behavior azure tool pi non production well find error pi system mail chain root cause certificate azure sept expiration date new certificate not pi not even aware change production azure company net got around â€“ connectivity broken next need azure certificate chain sent basis team update pi system reach certificate azure house want open case certificate received maybe first system upon confirmation works apply production,pi connectivity issue certificate renewal connectivity issue pi due certificate renewal azure certificate not yet pi side issue data area data partner not pi worked vice prod dev issue start time customer master team issue prospect account didnt come yet â€“ pi team still status â€“ basically not yet received target system upon log analysis trying identify root cause pi basis â€“ issue production environment since around behavior azure tool pi non production well find error pi system mail chain root cause certificate azure sept expiration date new certificate not pi not even aware change production azure company net got around â€“ connectivity broken next need azure certificate chain sent basis team update pi system reach certificate azure house want open case certificate received maybe first system upon confirmation works apply production,kgytujhe bonhwzrx,GRP_14
printer problem issue information,complete not returned back requester provide information â€¢ review ticket not able resolve assign appropriate group per printer problem assignment â€¢ printer make model ex â€“ â€¢ detailed description problem error need install driver computer print â€¢ type not printing â€“ excel â€“ wordâ€¦etc word tool â€“ delivery note â€“ production orderâ€¦etc â€¢ system application used time problem ex â€¢ not printing respond ping command network power cycle printer not sure â€¢ system system ex not â€¢ printer problem output another printer temporarily not printer â€¢ document not printing correctly scan copy document attach ticketing tool ticket,printer problem issue information complete not returned back requester provide information â€¢ review ticket not able resolve assign appropriate group per printer problem assignment â€¢ printer make model ex â€“ â€¢ detailed description problem error need install driver computer print â€¢ type not printing â€“ excel â€“ wordâ€¦etc word tool â€“ delivery note â€“ production orderâ€¦etc â€¢ system application used time problem ex â€¢ not printing respond ping command network power cycle printer not sure â€¢ system system ex not â€¢ printer problem output another printer temporarily not printer â€¢ document not printing correctly scan copy document attach ticketing tool ticket,dzjxrkae grqczsmx,GRP_3
power outage site hard since,type outage network circuit power specify type outage top site no no start maintenance power no no company power provider power maintenance network no no company maint no provider maint ticket site backup circuit no backup circuit active no no site contact notified phone no remote dial no equipment reset no site working backup circuit no vendor ticket global vendor vendor global notified no no additional diagnostics,power outage site hard since type outage network circuit power specify type outage top site no no start maintenance power no no company power provider power maintenance network no no company maint no provider maint ticket site backup circuit no backup circuit active no no site contact notified phone no remote dial no equipment reset no site working backup circuit no vendor ticket global vendor vendor global notified no no additional diagnostics,utyeofsk rdyzpwhi,GRP_8
unable log,received team unable log account even correct password id not accepted need resolution urgent basis,unable log received team unable log account even correct password id not accepted need resolution urgent basis,ygkzwsud cvjgkxws,GRP_0
activate,set spare company cause old one broken agreement attached account could activate new device,activate set spare company cause old one broken agreement attached account could activate new device,fbyusmxz kxvmcbly,GRP_0
